id,x,y,r,b
0,741.7190082644628,7.43801652892562,6,218.44628099173553
1,2720.195652173913,9.782608695652174,3,204.2173913043478
2,2060.8,568.9636363636364,4,190.94545454545454
3,1671.9583333333333,922.7083333333334,2,198.54166666666666
4,1595.8620689655172,1233.7586206896551,3,193.6206896551724
5,1540.909090909091,1267.5454545454545,3,197.63636363636363
6,2448.6304347826085,1309.3695652173913,3,201.04347826086956
7,2351.5945945945946,1347.837837837838,3,195.0810810810811
8,1735.047619047619,1570.0714285714287,3,205.16666666666666
9,2717.6315789473683,1760.9473684210527,3,190.81578947368422
10,1137.6976744186047,1871.2558139534883,3,184.95348837209303
11,1671.5,1983.5,2,194.10714285714286
12,1461.8823529411766,2112.9411764705883,3,184.61764705882354
13,2817.0,2161.0,2,169.66666666666666
14,2164.820895522388,2181.582089552239,4,203.01492537313433
15,1963.5357142857142,2393.7738095238096,5,204.27380952380952
16,2564.731343283582,2413.492537313433,4,201.91044776119404
17,1260.2727272727273,2426.318181818182,2,129.6818181818182
18,2497.255319148936,2663.744680851064,3,191.08510638297872
19,649.0,2753.8571428571427,2,181.52380952380952
20,1756.1935483870968,2786.7419354838707,3,174.1290322580645
21,2710.3333333333335,2940.8888888888887,6,197.0793650793651
22,1889.75,3080.25,2,156.65
23,2874.8651685393256,3192.494382022472,5,201.0
24,2875.0,3204.5,2,154.66666666666666
25,718.5403726708074,3554.186335403727,7,164.65217391304347
26,1716.9055118110236,3797.3464566929133,6,189.04724409448818
27,1827.357142857143,3998.6071428571427,2,176.17857142857142
